student_id,Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Admission grade,semester,attendance_percentage,ca1_score,ca2_score,ca3_score,best_2_ca_average,mid_term_score,previous_semester_tgpa,academic_trend,academic_risk
STU0026,5,11.6,6,8,157.0,5,72.2,20.0,14.6,22.5,21.2,17.2,5.83,Declining,0.0
STU0027,6,11.375,6,9,116.4,2,66.6,15.1,13.3,17.0,16.0,13.0,4.74,Stable,0.0
STU0028,5,12.666666666666666,5,9,131.0,6,72.5,15.7,20.9,24.0,22.4,20.9,5.12,Stable,0.0
STU0029,5,12.0,5,6,122.1,6,67.3,12.3,16.1,14.4,15.2,15.1,6.23,Declining,0.0
STU0030,6,12.933333333333332,7,9,118.8,5,81.2,10.8,14.7,11.6,13.2,17.2,6.31,Declining,0.0
STU0031,5,11.857142857142858,6,15,150.0,1,78.5,13.5,14.2,19.2,16.7,9.0,,Stable,0.0
STU0032,6,12.833333333333334,6,7,130.0,5,56.8,11.4,9.2,17.7,14.6,7.1,6.76,Declining,0.0
STU0033,3,11.333333333333334,5,9,138.8,8,52.2,15.4,16.8,20.1,18.5,15.5,5.57,Stable,0.0
STU0034,6,12.666666666666666,6,6,134.5,2,53.3,9.8,13.3,22.0,17.6,12.9,5.4,Stable,0.0
STU0035,5,12.4,5,6,131.4,2,78.8,9.9,9.7,17.9,13.9,18.9,6.18,Stable,0.0
STU0036,0,0.0,7,7,102.5,6,46.7,3.1,0.0,11.0,7.0,0.0,4.17,Declining,0.0
STU0037,0,0.0,5,0,128.8,2,57.3,3.9,4.1,13.6,8.8,3.4,3.25,Stable,0.0
STU0038,1,10.0,5,10,122.9,5,63.3,8.4,1.9,7.2,7.8,4.8,5.66,Declining,1.0
STU0039,5,11.0,5,8,113.9,6,64.1,10.8,16.8,13.4,15.1,13.4,5.08,Declining,1.0
STU0040,3,11.666666666666666,6,13,120.0,1,74.4,19.1,14.6,30.0,24.6,21.7,,Improving,0.0
STU0041,4,12.75,6,6,121.1,4,74.1,21.2,16.4,23.2,22.2,20.3,5.53,Improving,1.0
STU0042,5,14.8,5,5,120.4,4,50.1,25.5,25.8,24.4,25.6,16.9,7.5,Stable,0.0
STU0043,5,13.928,7,9,100.6,2,64.2,6.0,9.5,17.5,13.5,13.5,6.74,Declining,1.0
STU0044,4,13.0,6,7,121.4,7,74.8,11.4,11.9,10.1,11.6,16.9,4.79,Stable,1.0
STU0045,0,0.0,5,0,109.7,2,68.5,8.0,13.9,6.1,11.0,10.0,3.83,Stable,0.0
STU0046,2,11.5,5,9,134.1,3,84.5,12.2,16.3,11.7,14.2,7.3,5.68,Stable,0.0
STU0047,6,11.666666666666666,6,6,127.6,6,61.5,20.3,18.0,21.7,21.0,17.0,6.69,Declining,0.0
STU0048,6,13.516666666666666,7,8,132.4,2,70.4,17.4,17.6,17.4,17.5,18.0,6.82,Declining,0.0
STU0049,6,11.5,6,6,133.4,6,59.3,23.1,21.0,21.0,22.0,23.5,4.37,Improving,0.0
STU0050,5,12.333333333333334,6,7,126.1,1,84.3,19.2,22.4,17.5,20.8,12.1,,Stable,1.0
STU0051,6,13.666666666666666,6,6,113.5,4,81.4,20.2,21.7,12.2,21.0,16.1,7.22,Stable,0.0
STU0052,6,11.833333333333334,8,10,121.3,1,75.6,14.1,14.7,21.7,18.2,17.7,,Improving,1.0
STU0053,4,14.0,6,11,121.8,5,66.9,11.4,6.3,5.2,8.8,13.9,4.35,Stable,1.0
STU0054,5,14.714285714285714,5,7,159.3,6,87.0,15.8,15.1,15.5,15.6,16.3,6.53,Declining,1.0
STU0055,5,10.6,5,12,120.0,6,77.1,5.9,7.2,6.6,6.9,11.0,4.83,Declining,1.0
STU0056,7,13.044444444444444,7,9,129.1,8,80.5,20.7,17.1,14.2,18.9,18.6,4.16,Improving,0.0
STU0057,0,0.0,6,10,130.0,5,58.2,8.4,7.4,9.3,8.9,10.1,2.95,Stable,1.0
STU0058,5,13.0,6,9,155.3,6,76.3,18.5,18.2,27.4,23.0,18.1,6.31,Improving,1.0
STU0059,8,14.935,8,8,139.8,4,79.6,21.5,21.2,12.8,21.4,21.0,6.57,Stable,0.0
STU0060,0,0.0,0,0,115.2,7,64.9,4.6,0.0,5.5,5.0,0.0,2.56,Stable,0.0
STU0061,6,13.133333333333333,7,8,114.9,5,62.5,3.4,6.1,3.3,4.8,7.8,4.14,Declining,0.0
STU0062,6,12.0,6,7,131.9,7,66.7,18.6,14.4,14.6,16.6,10.3,5.38,Stable,1.0
STU0063,0,0.0,0,0,126.0,2,65.6,0.6,4.9,7.5,6.2,5.3,4.4,Declining,1.0
STU0064,5,11.4,6,6,130.2,4,87.0,14.8,12.6,20.9,17.8,11.4,8.68,Declining,0.0
STU0065,0,0.0,6,6,120.9,5,50.4,7.8,6.2,0.0,7.0,7.5,4.23,Stable,1.0
STU0066,5,11.9,7,10,126.0,2,70.6,17.8,13.5,20.9,19.4,11.1,5.39,Stable,1.0
STU0067,0,0.0,0,0,128.2,2,56.8,8.5,6.9,3.7,7.7,4.4,2.84,Stable,1.0
STU0068,6,12.571428571428571,6,8,130.0,8,74.1,16.8,21.9,12.5,19.4,18.8,6.43,Stable,1.0
STU0069,5,11.2,5,8,120.1,3,67.3,17.9,17.5,18.9,18.4,19.0,4.96,Improving,0.0
STU0070,6,12.0,6,7,100.0,2,84.4,9.7,15.9,18.0,17.0,16.0,6.49,Stable,1.0
STU0071,0,0.0,5,9,134.0,3,55.8,5.2,12.4,7.2,9.8,2.9,3.45,Stable,0.0
STU0072,7,11.975,7,8,130.8,3,72.0,6.5,14.0,9.1,11.6,4.4,5.35,Declining,0.0
STU0073,0,0.0,0,0,135.8,5,68.0,10.6,16.6,8.8,13.6,7.4,1.7,Improving,0.0
STU0074,3,11.666666666666666,6,12,111.7,7,65.1,8.1,15.8,12.1,14.0,7.6,6.58,Declining,0.0
STU0075,6,12.333333333333334,6,8,132.9,8,71.3,14.2,10.9,19.8,17.0,17.9,5.51,Stable,1.0
STU0076,3,10.333333333333334,5,8,115.5,5,57.6,8.3,10.7,19.6,15.2,14.4,5.85,Declining,0.0
STU0077,4,10.5,6,8,106.0,5,62.9,8.2,13.1,17.9,15.5,6.2,4.91,Stable,1.0
STU0078,6,13.666666666666666,6,6,120.3,3,59.0,15.9,20.0,18.6,19.3,22.9,4.81,Improving,0.0
STU0079,7,14.842857142857142,7,7,130.8,7,83.7,16.3,12.6,24.7,20.5,18.8,6.7,Declining,1.0
STU0080,6,12.0,6,8,117.0,2,72.3,18.4,18.9,12.8,18.6,10.6,4.58,Stable,1.0
STU0081,5,12.2,6,8,110.2,1,68.1,15.7,15.7,25.6,20.6,10.7,,Stable,1.0
STU0082,0,0.0,1,1,155.7,8,54.0,3.8,15.6,4.3,10.0,2.2,4.03,Declining,1.0
STU0083,6,12.166666666666666,12,17,180.4,7,81.1,16.4,9.2,8.7,12.8,12.1,7.15,Declining,0.0
STU0084,5,12.0,5,6,125.5,2,58.3,18.7,15.4,23.3,21.0,15.4,5.64,Stable,0.0
STU0085,6,11.0,6,7,110.0,5,65.3,14.5,7.2,9.9,12.2,9.8,4.11,Stable,0.0
STU0086,7,13.08,8,8,161.0,3,83.6,13.9,15.5,20.2,17.8,6.9,6.39,Declining,1.0
STU0087,4,10.5,5,7,100.0,3,47.7,8.0,15.8,8.5,12.2,5.6,4.35,Declining,1.0
STU0088,6,10.666666666666666,6,9,117.6,2,74.7,15.6,15.3,27.3,21.4,15.0,3.73,Improving,0.0
STU0089,4,14.0,5,6,128.7,1,58.5,18.0,16.5,27.5,22.8,18.3,,Stable,1.0
STU0090,2,10.0,5,9,112.2,4,65.6,8.1,8.0,20.5,14.3,0.5,3.89,Improving,0.0
STU0091,0,0.0,7,18,100.8,3,44.6,8.9,11.6,9.9,10.8,3.8,3.73,Improving,1.0
STU0092,6,14.0,6,6,105.0,4,83.2,10.9,12.5,20.5,16.5,15.1,4.62,Stable,0.0
STU0093,2,12.0,6,7,100.0,2,53.9,16.6,17.0,15.0,16.8,10.2,3.94,Stable,1.0
STU0094,3,12.666666666666666,6,12,115.5,8,53.4,15.7,10.6,20.9,18.3,12.1,6.22,Stable,0.0
STU0095,8,11.875,8,11,114.0,5,65.2,6.2,4.9,9.7,8.0,0.8,5.01,Declining,1.0
STU0096,5,14.0,5,9,137.0,7,63.7,10.8,14.5,22.4,18.4,14.9,3.8,Improving,0.0
STU0097,6,13.666666666666666,6,6,124.9,1,53.5,10.5,14.5,12.8,13.6,4.2,,Improving,0.0
STU0098,7,13.75,7,7,120.3,5,73.3,14.3,17.4,15.0,16.2,13.4,5.9,Declining,0.0
STU0099,5,14.2,5,7,134.3,6,56.6,16.3,16.5,17.0,16.8,19.0,6.0,Improving,0.0
STU0100,4,11.96,7,10,111.5,3,55.2,6.5,6.5,12.9,9.7,8.8,4.76,Declining,1.0
STU0101,8,12.875,10,12,128.8,2,66.2,9.4,11.9,14.3,13.1,8.9,6.31,Declining,0.0
STU0102,0,0.0,0,0,110.0,2,65.6,10.0,9.3,12.9,11.4,5.8,4.19,Stable,1.0
STU0103,0,0.0,6,0,113.5,2,64.0,5.4,0.0,3.9,4.6,1.2,2.35,Stable,1.0
STU0104,18,14.63157894736842,18,19,160.0,3,96.1,24.3,22.3,29.6,27.0,17.4,8.3,Stable,0.0
STU0105,0,0.0,6,0,117.4,3,50.6,5.1,2.9,13.3,9.2,2.8,2.94,Stable,1.0
STU0106,10,13.0,10,12,122.2,2,50.9,13.5,14.1,18.0,16.0,12.9,7.84,Declining,0.0
STU0107,0,0.0,6,0,118.2,5,55.5,4.8,11.1,17.6,14.4,4.9,3.11,Improving,1.0
STU0108,4,14.2,6,15,106.7,1,81.9,24.3,20.9,24.1,24.2,23.5,,Improving,0.0
STU0109,6,13.266666666666666,7,9,108.2,3,84.6,21.4,21.8,30.0,25.9,15.6,6.64,Improving,0.0
STU0110,6,11.666666666666666,7,12,107.0,5,66.0,8.5,6.2,11.0,9.8,0.6,4.37,Declining,1.0
STU0111,6,13.857142857142858,6,8,136.1,2,64.4,15.2,11.8,10.9,13.5,11.2,5.99,Declining,1.0
STU0112,3,13.0,5,9,115.3,2,65.1,2.3,11.3,10.8,11.0,7.9,6.27,Declining,0.0
STU0113,5,13.4,5,6,139.8,2,87.8,19.2,13.2,14.8,17.0,14.4,6.36,Declining,0.0
STU0114,6,12.666666666666666,6,6,157.0,1,55.7,16.9,12.5,11.9,14.7,12.8,,Stable,1.0
STU0115,6,12.516666666666666,7,7,131.0,4,61.5,13.3,13.4,7.0,13.4,8.6,6.82,Declining,0.0
STU0116,6,11.616666666666667,7,11,100.0,1,74.3,6.0,8.6,17.5,13.0,3.7,,Declining,1.0
STU0117,2,10.0,6,13,140.4,2,64.5,8.7,9.7,5.9,9.2,7.3,6.29,Stable,1.0
STU0118,3,10.333333333333334,5,11,113.4,8,55.4,14.1,21.0,20.3,20.6,13.6,4.67,Improving,0.0
STU0119,5,13.142857142857142,5,12,137.0,7,92.1,19.0,14.4,30.0,24.5,20.1,5.99,Stable,0.0
STU0120,5,12.6,5,5,121.8,2,73.5,17.0,10.8,12.8,14.9,13.8,4.87,Stable,0.0
STU0121,3,11.0,6,12,131.0,2,60.9,11.5,17.6,16.2,16.9,11.1,5.65,Declining,1.0
STU0122,5,10.8,5,8,118.6,3,58.5,17.8,20.1,15.8,19.0,21.0,6.98,Stable,0.0
STU0123,0,0.0,0,0,122.3,6,73.7,7.5,11.2,13.0,12.1,9.6,4.36,Stable,1.0
STU0124,5,12.8,5,5,127.9,6,76.0,21.6,18.8,15.6,20.2,13.6,6.66,Declining,1.0
STU0125,6,14.166666666666666,6,15,121.3,1,88.2,8.9,11.8,17.0,14.4,0.0,,Declining,0.0
STU0126,5,12.1,7,12,117.1,1,78.7,9.7,12.8,21.1,17.0,6.1,,Improving,1.0
STU0127,6,14.166666666666666,6,7,160.0,3,76.9,19.6,17.8,22.5,21.0,20.2,6.56,Stable,0.0
STU0128,5,12.8,6,8,145.3,7,63.4,17.8,14.8,9.1,16.3,17.9,5.8,Stable,0.0
STU0129,6,13.0,6,7,122.6,7,81.8,21.7,22.2,24.4,23.3,13.2,6.87,Declining,0.0
STU0130,7,13.467142857142855,7,7,128.0,1,82.4,13.3,19.0,10.9,16.2,17.3,,Stable,0.0
STU0131,7,13.2375,7,9,124.9,4,53.9,12.4,10.3,16.5,14.4,13.3,4.47,Stable,0.0
STU0132,6,12.333333333333334,6,6,123.7,1,70.3,3.6,1.9,13.9,8.8,8.7,,Declining,1.0
STU0133,5,12.4,5,7,120.1,5,71.2,19.5,16.2,19.4,19.4,19.9,6.92,Declining,1.0
STU0134,5,14.0,7,8,131.7,7,62.4,13.1,13.5,28.7,21.1,17.7,3.47,Improving,0.0
STU0135,9,11.666666666666666,9,15,133.2,3,69.3,25.1,24.7,22.3,24.9,23.3,6.3,Stable,0.0
STU0136,5,12.0,6,7,109.3,1,52.4,8.2,11.5,12.1,11.8,10.9,,Improving,1.0
STU0137,4,12.2,5,7,113.0,4,65.5,23.1,26.9,22.7,25.0,20.7,6.48,Stable,0.0
STU0138,6,14.833333333333334,6,6,157.9,3,72.4,23.2,22.6,24.2,23.7,24.2,5.51,Improving,0.0
STU0139,5,13.188,7,9,112.1,6,73.2,14.6,15.5,20.2,17.8,9.8,5.7,Stable,0.0
STU0140,7,17.125,7,8,174.7,3,91.5,28.3,28.9,30.0,29.4,26.6,9.73,Declining,0.0
STU0141,6,12.666666666666666,7,7,128.8,7,64.0,19.5,10.0,16.3,17.9,15.8,7.44,Declining,1.0
STU0142,6,12.666666666666666,6,8,110.1,2,80.2,11.2,18.0,16.0,17.0,18.5,5.27,Improving,0.0
STU0143,0,0.0,5,8,99.7,1,56.4,7.5,3.8,4.6,6.0,2.7,,Improving,0.0
STU0144,6,11.333333333333334,6,7,121.0,2,86.6,18.2,15.9,9.1,17.0,19.1,5.03,Improving,0.0
STU0145,7,13.605,7,10,131.7,1,68.7,17.1,18.3,23.1,20.7,15.4,,Improving,1.0
STU0146,5,12.0,6,10,119.1,2,62.8,13.1,14.0,12.9,13.6,16.2,5.28,Stable,1.0
STU0147,0,0.0,5,10,124.7,5,68.1,0.0,3.9,6.3,5.1,0.0,2.93,Declining,0.0
STU0148,5,11.2,6,8,117.2,1,62.6,12.9,13.4,12.0,13.2,14.9,,Improving,0.0
STU0149,5,13.375,5,10,128.8,1,74.2,18.6,13.2,16.2,17.4,14.7,,Improving,0.0
STU0150,6,13.863333333333337,7,8,131.5,1,80.1,8.7,14.0,12.3,13.2,7.1,,Stable,1.0
STU0151,0,0.0,0,0,121.7,1,42.7,5.8,11.0,12.7,11.8,6.4,,Improving,0.0
STU0152,5,12.4,5,6,123.4,7,72.6,11.8,13.5,20.1,16.8,16.5,6.76,Declining,0.0
STU0153,3,12.333333333333334,6,11,124.7,8,67.8,4.7,7.9,11.3,9.6,2.4,4.33,Stable,0.0
STU0154,6,13.333333333333334,6,7,132.8,1,82.1,13.5,10.8,13.9,13.7,6.1,,Stable,1.0
STU0155,3,12.666666666666666,6,10,108.7,6,75.8,11.8,22.1,8.7,17.0,16.9,6.09,Stable,0.0
STU0156,6,12.0,6,8,138.1,5,90.2,27.5,22.3,27.2,27.4,16.4,7.14,Improving,0.0
STU0157,5,10.6,5,5,126.5,8,68.1,14.9,17.2,13.7,16.0,20.5,5.56,Stable,1.0
STU0158,6,12.25,6,8,127.4,3,67.0,21.6,19.8,15.5,20.7,24.6,4.73,Improving,0.0
STU0159,4,11.0,6,10,123.6,2,85.2,11.8,11.8,14.5,13.2,14.8,5.4,Stable,0.0
STU0160,5,11.0,6,11,122.0,3,50.3,3.1,3.1,9.2,6.1,3.7,5.53,Declining,1.0
STU0161,6,13.166666666666666,6,6,118.2,7,54.5,15.7,14.9,9.0,15.3,20.0,5.43,Stable,1.0
STU0162,7,12.855555555555554,7,9,123.9,5,74.1,11.1,16.8,9.7,14.0,18.0,5.03,Improving,0.0
STU0163,7,14.91875,7,8,125.8,4,97.0,20.2,17.5,24.6,22.4,16.2,6.21,Improving,0.0
STU0164,4,11.5,6,13,123.3,2,67.2,7.4,10.8,10.2,10.5,14.1,5.62,Stable,1.0
STU0165,5,14.2,5,5,124.4,5,84.4,17.9,20.0,22.6,21.3,14.3,6.71,Stable,0.0
STU0166,6,12.5,6,6,126.0,7,49.6,17.5,14.8,17.1,17.3,13.8,6.77,Declining,1.0
STU0167,0,0.0,1,1,170.0,3,57.9,14.0,17.2,18.8,18.0,7.0,3.44,Stable,0.0
STU0168,5,11.666666666666666,6,10,121.5,5,53.9,21.6,19.4,15.2,20.5,18.9,5.57,Improving,0.0
STU0169,7,14.257142857142856,8,8,130.0,3,80.3,23.6,18.9,21.4,22.5,18.0,5.17,Improving,0.0
STU0170,3,12.0,6,13,117.0,4,53.9,4.6,1.0,15.2,9.9,2.2,6.49,Declining,1.0
STU0171,4,11.25,5,13,130.0,4,55.0,7.4,10.6,10.7,10.6,8.2,6.47,Declining,1.0
STU0172,7,12.457142857142856,7,8,108.0,6,76.4,7.9,8.7,20.6,14.6,6.6,7.87,Declining,1.0
STU0173,6,11.683333333333332,7,7,132.3,8,78.6,16.6,16.3,9.3,16.5,15.1,6.21,Stable,1.0
STU0174,3,11.666666666666666,6,10,148.0,3,64.3,9.1,8.9,9.5,9.3,13.4,5.96,Declining,0.0
STU0175,4,11.75,6,8,122.6,3,69.0,8.9,8.8,4.7,8.9,4.4,5.37,Declining,1.0
STU0176,3,11.666666666666666,5,6,123.0,3,73.7,12.9,10.7,12.1,12.5,14.4,6.23,Stable,0.0
STU0177,5,13.2,6,9,102.5,1,73.3,19.1,8.9,18.2,18.6,14.2,,Stable,0.0
STU0178,4,11.95,7,8,113.3,2,59.0,7.6,8.8,18.1,13.4,9.7,6.26,Declining,1.0
STU0179,5,12.4,6,8,133.0,1,75.7,9.5,12.8,15.1,14.0,10.8,,Improving,1.0
STU0180,6,14.35,7,8,140.0,3,80.9,17.6,15.4,16.8,17.2,12.9,6.87,Declining,1.0
STU0181,21,12.61904761904762,21,21,128.3,2,93.2,28.3,30.0,20.3,29.2,28.5,8.16,Stable,0.0
STU0182,6,12.666666666666666,6,7,140.0,3,76.2,16.3,11.7,12.4,14.4,15.3,6.56,Declining,1.0
STU0183,5,12.0,6,6,104.0,6,55.9,9.1,3.8,14.3,11.7,3.6,5.21,Declining,1.0
STU0184,6,12.166666666666666,6,6,122.3,2,80.9,8.2,7.3,20.5,14.4,3.6,6.8,Declining,0.0
STU0185,0,0.0,6,0,135.0,5,57.3,11.1,14.5,9.2,12.8,11.2,3.82,Improving,1.0
STU0186,3,10.0,5,9,119.1,7,67.8,12.6,6.5,21.7,17.2,12.4,7.22,Declining,1.0
STU0187,8,11.5,10,18,126.6,4,69.3,10.8,15.9,12.7,14.3,16.6,7.11,Stable,0.0
STU0188,6,13.05,7,7,129.0,2,61.0,5.6,6.2,11.1,8.6,10.8,7.41,Declining,1.0
STU0189,2,11.0,6,10,162.3,3,73.2,5.6,0.0,9.8,7.7,4.9,5.15,Declining,0.0
STU0190,6,11.5,6,7,163.4,4,67.1,16.2,14.8,28.0,22.1,14.3,7.6,Declining,0.0
STU0191,6,12.0,6,7,121.5,4,67.9,17.4,13.0,20.4,18.9,14.7,7.12,Declining,1.0
STU0192,2,10.0,6,13,122.8,1,62.3,6.6,5.2,3.9,5.9,1.5,,Stable,1.0
STU0193,0,0.0,5,5,118.0,3,67.1,5.1,1.0,10.7,7.9,0.0,4.31,Stable,0.0
STU0194,0,0.0,6,0,134.0,4,70.7,8.3,10.2,20.0,15.1,8.2,3.1,Improving,1.0
STU0195,7,12.242857142857144,8,8,129.8,2,52.7,22.3,28.5,18.0,25.4,21.1,5.92,Improving,0.0
STU0196,0,0.0,5,0,152.0,5,65.9,0.0,5.0,2.2,3.6,2.6,5.25,Declining,0.0
STU0197,8,12.93375,8,8,122.8,1,87.0,18.0,9.7,22.6,20.3,8.2,,Stable,1.0
STU0198,0,0.0,5,0,150.0,3,44.9,6.7,6.3,17.5,12.1,1.3,4.84,Declining,1.0
STU0199,7,12.571428571428571,7,9,131.8,6,49.6,11.4,9.9,20.4,15.9,13.5,6.97,Stable,0.0
STU0200,3,11.816666666666668,3,4,105.9,2,65.6,12.7,10.6,6.9,11.6,7.7,4.78,Stable,0.0
STU0201,4,13.75,5,9,132.1,4,83.2,19.5,17.5,22.8,21.2,14.5,5.66,Improving,0.0
STU0202,6,11.166666666666666,6,8,127.4,3,89.6,18.0,19.1,22.0,20.6,17.7,6.0,Improving,0.0
STU0203,7,12.324285714285711,8,8,129.5,2,64.3,21.5,18.3,15.0,19.9,14.5,5.18,Stable,1.0
STU0204,6,12.166666666666666,6,6,126.7,7,89.1,7.2,1.2,20.8,14.0,9.6,7.22,Declining,0.0
STU0205,5,11.142857142857142,6,11,116.5,3,40.3,5.3,0.0,11.3,8.3,0.0,5.76,Declining,1.0
STU0206,4,11.0,6,9,119.1,2,64.3,19.3,13.9,22.6,21.0,14.8,5.91,Stable,0.0
STU0207,7,12.914285714285713,8,8,126.5,7,65.1,17.6,16.3,12.3,17.0,12.5,6.44,Declining,1.0
STU0208,6,13.833333333333334,6,6,149.8,6,80.3,16.7,13.7,18.8,17.8,14.6,6.13,Declining,1.0
STU0209,6,13.857142857142858,6,8,115.1,5,79.8,18.5,14.8,12.7,16.6,13.1,6.11,Stable,0.0
STU0210,6,13.714285714285714,6,7,124.5,1,79.5,6.9,9.1,16.1,12.6,8.3,,Stable,0.0
STU0211,7,12.642857142857142,8,8,128.3,1,63.4,21.0,23.5,28.2,25.8,24.8,,Improving,0.0
STU0212,6,12.916666666666666,7,7,136.0,5,75.1,17.4,16.0,9.9,16.7,12.4,5.09,Stable,0.0
STU0213,6,15.625,6,8,140.0,2,80.3,15.0,15.6,13.0,15.3,12.2,6.69,Declining,0.0
STU0214,0,0.0,5,7,126.3,2,37.9,15.6,13.2,14.4,15.0,10.4,3.55,Stable,1.0
STU0215,6,11.714285714285714,6,8,126.9,6,50.5,14.8,11.4,16.0,15.4,17.7,5.1,Stable,1.0
STU0216,6,12.125,7,10,145.0,2,85.7,8.9,6.4,22.5,15.7,8.3,5.85,Declining,0.0
STU0217,5,11.6,5,7,115.8,1,69.1,16.5,14.7,13.7,15.6,19.0,,Improving,0.0
STU0218,1,10.0,6,11,100.0,1,56.9,10.5,3.6,14.1,12.3,6.6,,Stable,1.0
STU0219,1,10.0,6,16,102.5,3,61.0,15.2,13.8,17.1,16.2,17.1,3.78,Improving,1.0
STU0220,0,0.0,5,10,131.5,5,55.9,6.7,14.8,9.5,12.2,10.3,2.37,Improving,1.0
STU0221,4,13.0,5,7,147.0,7,70.7,12.8,16.2,9.1,14.5,15.8,4.81,Stable,0.0
STU0222,6,13.333333333333334,6,6,122.5,1,58.6,22.3,23.4,30.0,26.7,15.1,,Improving,0.0
STU0223,4,11.25,6,9,117.5,2,85.5,17.6,16.4,18.0,17.8,9.4,4.86,Stable,0.0
STU0224,5,13.85,7,9,150.0,4,78.9,10.9,19.3,10.6,15.1,18.1,4.18,Improving,0.0
STU0225,6,13.741666666666667,7,8,127.5,3,69.8,15.5,11.5,19.1,17.3,16.8,5.94,Stable,1.0
STU0226,6,15.333333333333334,6,7,140.0,4,73.5,20.2,18.9,22.8,21.5,27.1,5.79,Improving,0.0
STU0227,5,11.0,5,6,130.0,7,82.3,18.2,20.7,26.5,23.6,12.9,8.54,Declining,0.0
STU0228,6,12.0,6,6,133.3,4,68.3,18.0,15.9,25.2,21.6,18.1,7.26,Declining,0.0
STU0229,0,0.0,5,5,97.0,3,54.9,4.2,2.4,5.1,4.6,0.0,1.88,Stable,1.0
STU0230,7,11.571428571428571,8,15,112.0,8,56.4,9.0,10.9,6.7,10.0,7.0,6.14,Declining,0.0
STU0231,6,12.857142857142858,6,10,123.6,1,64.9,2.5,0.7,13.0,7.8,0.8,,Declining,1.0
STU0232,0,0.0,6,0,130.5,8,42.4,5.5,2.8,0.0,4.2,4.8,3.12,Declining,1.0
STU0233,5,13.0,5,5,133.3,4,62.8,7.8,4.5,20.9,14.4,4.6,7.73,Declining,1.0
STU0234,5,11.0,6,9,132.1,4,89.0,12.7,14.7,14.7,14.7,13.4,5.63,Stable,0.0
STU0235,3,12.0,5,12,100.0,7,64.2,3.3,9.1,14.4,11.8,9.4,5.87,Declining,1.0
STU0236,5,12.6,6,6,140.4,4,71.3,7.2,13.3,12.0,12.6,14.3,5.42,Stable,0.0
