student_id,Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Admission grade,attendance_percentage,ct1_score,ct2_score,assignment_average,quiz_average,lms_login_frequency,lms_resource_access,late_submission_count,academic_trend,academic_risk
STU0032,6,12.833333333333334,6,7,130.0,66.8,36.5,68.2,61.1,55.1,5.5,62.6,1,Stable,0.0
STU0033,3,11.333333333333334,5,9,138.8,62.5,52.0,44.5,57.7,58.8,2.5,45.9,7,Stable,
STU0034,6,12.666666666666666,6,6,134.5,72.9,34.2,58.6,57.7,58.6,3.8,42.0,5,Declining,0.0
STU0035,5,12.4,5,6,131.4,82.1,51.8,58.0,58.2,62.4,3.4,44.8,0,Declining,0.0
STU0036,0,0.0,7,7,102.5,58.0,16.9,41.6,36.4,45.2,1.9,22.3,5,Declining,1.0
STU0037,0,0.0,5,0,128.8,65.3,9.1,25.9,53.5,51.2,1.8,50.9,7,Declining,1.0
STU0038,1,10.0,5,10,122.9,58.6,53.1,65.5,56.2,56.9,2.9,44.2,4,Declining,1.0
STU0039,5,11.0,5,8,113.9,59.4,36.5,44.0,52.9,45.6,3.1,59.1,4,Declining,0.0
STU0040,3,11.666666666666666,6,13,120.0,58.2,54.5,22.8,64.0,57.2,3.2,45.9,8,Stable,1.0
STU0041,4,12.75,6,6,121.1,57.7,52.0,63.2,48.2,55.7,3.4,22.6,4,Improving,1.0
STU0042,5,14.8,5,5,120.4,64.3,54.2,65.2,56.7,52.0,2.8,77.9,2,Declining,0.0
STU0043,5,13.928,7,9,100.6,73.6,44.8,41.0,64.3,53.9,2.2,61.8,5,Stable,0.0
STU0044,4,13.0,6,7,121.4,73.3,48.8,53.3,41.5,64.4,3.3,56.3,2,Stable,1.0
STU0045,0,0.0,5,0,109.7,50.9,27.1,51.0,62.2,44.5,0.9,0.0,7,Declining,1.0
STU0046,2,11.5,5,9,134.1,60.9,59.0,67.6,45.4,61.0,3.3,44.8,5,Stable,
STU0047,6,11.666666666666666,6,6,127.6,65.5,45.0,61.2,49.5,53.3,2.5,74.2,7,Declining,0.0
STU0048,6,13.516666666666666,7,8,132.4,68.7,49.7,65.6,55.9,68.3,1.7,73.0,5,Stable,0.0
STU0049,6,11.5,6,6,133.4,70.2,59.6,62.3,61.3,61.9,5.5,47.7,4,Declining,0.0
STU0050,5,12.333333333333334,6,7,126.1,62.3,43.2,52.0,62.3,42.9,3.0,69.2,4,Stable,0.0
STU0051,6,13.666666666666666,6,6,113.5,65.1,31.0,42.4,70.5,50.0,1.3,76.9,7,Declining,0.0
STU0052,6,11.833333333333334,8,10,121.3,76.9,38.8,51.4,54.1,43.3,4.7,49.8,4,Improving,
STU0053,4,14.0,6,11,121.8,64.0,64.5,68.3,58.2,40.7,3.3,72.2,4,Declining,
STU0054,5,14.714285714285714,5,7,159.3,62.2,53.6,69.0,40.3,86.6,3.9,72.6,4,Stable,0.0
STU0055,5,10.6,5,12,120.0,64.3,53.5,55.4,42.6,72.0,3.8,62.5,5,Stable,1.0
STU0056,7,13.044444444444444,7,9,129.1,67.8,56.8,52.3,55.3,68.9,5.1,68.4,3,Declining,0.0
STU0057,0,0.0,6,10,130.0,43.7,58.0,60.3,44.9,44.8,2.4,18.9,4,Declining,1.0
STU0058,5,13.0,6,9,155.3,62.5,26.6,56.0,54.2,46.9,2.0,63.8,3,Declining,1.0
STU0059,8,14.935,8,8,139.8,72.1,54.1,66.2,63.5,43.9,2.7,55.6,2,Stable,0.0
STU0060,0,0.0,0,0,115.2,71.0,35.4,23.5,39.4,35.5,0.2,16.4,6,Declining,
STU0061,6,13.133333333333333,7,8,114.9,62.3,52.1,54.7,53.1,45.6,3.2,75.9,3,Declining,0.0
STU0062,6,12.0,6,7,131.9,72.0,60.8,67.3,78.5,61.7,4.2,49.9,4,Stable,0.0
STU0063,0,0.0,0,0,126.0,56.4,44.9,21.6,37.4,39.8,0.9,33.5,6,Declining,
STU0064,5,11.4,6,6,130.2,74.1,47.1,52.3,63.2,62.0,2.7,51.8,5,Stable,
STU0065,0,0.0,6,6,120.9,50.6,15.6,43.8,27.7,41.7,1.1,7.9,4,Declining,
STU0066,5,11.9,7,10,126.0,74.3,80.9,70.9,55.2,32.4,2.9,46.6,7,Declining,1.0
STU0067,0,0.0,0,0,128.2,66.2,34.9,49.7,33.3,35.9,2.7,41.6,8,Declining,0.0
STU0068,6,12.571428571428571,6,8,130.0,77.8,52.9,75.2,74.8,58.4,3.4,52.7,5,Declining,0.0
STU0069,5,11.2,5,8,120.1,76.3,65.0,62.9,47.6,55.2,4.9,44.5,5,Stable,1.0
STU0070,6,12.0,6,7,100.0,67.4,46.5,64.9,54.1,46.5,3.1,56.7,2,Stable,
STU0071,0,0.0,5,9,134.0,60.6,51.9,27.9,33.0,33.4,2.1,47.9,5,Declining,
STU0072,7,11.975,7,8,130.8,63.1,48.6,43.4,46.5,46.1,3.6,28.5,3,Stable,0.0
STU0073,0,0.0,0,0,135.8,40.0,56.9,58.2,39.2,18.0,2.3,28.4,4,Declining,1.0
STU0074,3,11.666666666666666,6,12,111.7,66.5,54.6,46.7,56.2,50.8,4.1,49.1,4,Declining,1.0
STU0075,6,12.333333333333334,6,8,132.9,64.8,43.6,48.2,65.4,62.9,3.8,78.8,8,Improving,0.0
STU0076,3,10.333333333333334,5,8,115.5,71.0,73.6,22.7,45.2,43.9,6.5,64.7,5,Declining,1.0
STU0077,4,10.5,6,8,106.0,70.8,55.7,64.1,46.0,35.6,5.2,27.2,7,Stable,1.0
STU0078,6,13.666666666666666,6,6,120.3,58.2,45.2,42.1,68.4,66.3,3.2,73.4,6,Improving,0.0
STU0079,7,14.842857142857142,7,7,130.8,86.7,37.6,47.6,73.3,72.5,5.7,53.7,2,Stable,0.0
STU0080,6,12.0,6,8,117.0,69.0,59.8,67.5,53.7,48.0,5.2,27.7,4,Stable,0.0
STU0081,5,12.2,6,8,110.2,55.2,67.3,27.2,58.6,41.4,2.1,30.8,4,Declining,1.0
STU0082,0,0.0,1,1,155.7,45.9,39.8,54.5,56.8,36.4,0.0,50.7,7,Declining,1.0
STU0083,6,12.166666666666666,12,17,180.4,49.5,56.9,45.9,82.4,58.1,4.2,60.7,5,Stable,1.0
STU0084,5,12.0,5,6,125.5,71.3,68.9,51.5,57.7,46.8,3.5,35.6,7,Declining,
STU0085,6,11.0,6,7,110.0,61.1,57.6,44.1,61.2,33.6,0.7,74.3,5,Stable,0.0
STU0086,7,13.08,8,8,161.0,60.4,45.3,40.2,57.5,66.5,4.1,64.9,5,Declining,0.0
STU0087,4,10.5,5,7,100.0,58.7,40.9,42.2,37.0,53.3,3.5,43.9,4,Declining,0.0
STU0088,6,10.666666666666666,6,9,117.6,62.9,57.1,43.5,57.2,71.0,3.0,55.1,2,Declining,0.0
STU0089,4,14.0,5,6,128.7,70.3,57.1,39.3,68.0,53.5,5.6,38.2,5,Stable,
STU0090,2,10.0,5,9,112.2,49.5,59.5,67.9,42.6,66.3,3.0,75.2,5,Stable,
STU0091,0,0.0,7,18,100.8,48.2,42.1,29.1,23.9,37.8,1.8,15.8,7,Declining,1.0
STU0092,6,14.0,6,6,105.0,70.6,60.9,33.1,61.7,47.3,3.9,34.4,6,Stable,0.0
STU0093,2,12.0,6,7,100.0,58.8,52.0,26.0,33.8,43.9,1.8,50.0,5,Declining,1.0
STU0094,3,12.666666666666666,6,12,115.5,69.6,61.5,58.2,37.6,73.9,2.5,93.2,6,Stable,1.0
STU0095,8,11.875,8,11,114.0,63.3,62.4,35.7,40.1,53.0,0.6,33.6,5,Stable,0.0
STU0096,5,14.0,5,9,137.0,79.2,49.3,53.2,35.4,73.2,4.4,65.4,4,Stable,
STU0097,6,13.666666666666666,6,6,124.9,68.3,50.2,79.1,66.1,48.8,5.0,54.4,3,Stable,0.0
STU0098,7,13.75,7,7,120.3,77.2,57.5,58.8,57.9,38.7,4.4,60.8,7,Declining,0.0
STU0099,5,14.2,5,7,134.3,70.6,53.6,59.1,75.9,62.5,4.1,70.1,5,Declining,
STU0100,4,11.96,7,10,111.5,69.6,65.7,46.6,60.6,44.2,3.5,39.6,5,Stable,1.0
STU0101,8,12.875,10,12,128.8,62.0,57.0,57.3,77.9,59.8,5.9,52.1,2,Stable,1.0
STU0102,0,0.0,0,0,110.0,64.3,17.9,35.4,33.6,40.4,1.8,19.7,6,Declining,0.0
STU0103,0,0.0,6,0,113.5,56.7,20.8,41.7,43.6,40.2,3.0,51.0,6,Declining,1.0
STU0104,18,14.63157894736842,18,19,160.0,67.8,62.8,88.5,54.5,86.4,6.3,89.9,1,Improving,0.0
STU0105,0,0.0,6,0,117.4,40.0,43.7,32.9,37.2,41.0,0.3,13.1,7,Declining,1.0
STU0106,10,13.0,10,12,122.2,70.3,47.6,49.8,73.3,59.3,5.1,64.1,3,Stable,0.0
STU0107,0,0.0,6,0,118.2,67.1,42.8,37.1,39.6,33.7,0.6,45.7,3,Declining,1.0
STU0108,4,14.2,6,15,106.7,59.4,43.4,67.1,53.3,60.8,3.2,29.6,3,Improving,1.0
STU0109,6,13.266666666666666,7,9,108.2,59.2,54.5,51.6,55.4,59.8,3.7,74.3,5,Stable,1.0
STU0110,6,11.666666666666666,7,12,107.0,63.6,56.7,57.9,56.3,48.8,5.3,51.3,3,Stable,
STU0111,6,13.857142857142858,6,8,136.1,75.8,39.2,62.1,57.4,66.1,3.1,47.1,8,Stable,0.0
STU0112,3,13.0,5,9,115.3,50.2,54.5,78.6,66.5,49.4,4.0,70.7,5,Stable,
STU0113,5,13.4,5,6,139.8,60.7,70.8,65.5,47.4,60.3,1.9,68.8,8,Declining,0.0
STU0114,6,12.666666666666666,6,6,157.0,58.1,49.3,44.2,52.7,37.6,3.6,31.7,2,Stable,0.0
STU0115,6,12.516666666666666,7,7,131.0,70.6,52.6,28.4,55.8,64.5,3.2,63.1,2,Declining,1.0
STU0116,6,11.616666666666667,7,11,100.0,64.9,54.6,56.3,45.7,44.8,5.3,62.3,4,Declining,
STU0117,2,10.0,6,13,140.4,60.2,48.1,41.6,46.2,57.3,2.4,13.3,3,Stable,
STU0118,3,10.333333333333334,5,11,113.4,62.1,48.2,45.0,59.1,65.4,1.5,55.6,4,Declining,
STU0119,5,13.142857142857142,5,12,137.0,72.7,51.5,43.1,47.0,58.9,3.3,46.6,6,Declining,0.0
STU0120,5,12.6,5,5,121.8,74.4,31.8,47.5,81.6,66.4,2.9,67.7,4,Declining,0.0
STU0121,3,11.0,6,12,131.0,72.2,54.0,45.3,68.4,37.7,3.8,35.3,2,Declining,1.0
STU0122,5,10.8,5,8,118.6,69.3,36.6,51.2,54.7,50.6,5.2,51.2,5,Stable,0.0
STU0123,0,0.0,0,0,122.3,66.1,39.5,29.9,45.8,30.2,1.6,22.0,8,Declining,1.0
STU0124,5,12.8,5,5,127.9,58.1,59.2,45.2,61.7,44.8,4.1,41.5,1,Declining,0.0
STU0125,6,14.166666666666666,6,15,121.3,70.9,59.1,63.6,62.7,37.0,4.0,22.9,2,Stable,0.0
STU0126,5,12.1,7,12,117.1,84.6,40.6,54.2,55.4,54.1,4.4,67.6,4,Stable,1.0
STU0127,6,14.166666666666666,6,7,160.0,52.3,56.8,56.1,83.6,66.1,2.8,71.5,2,Declining,0.0
STU0128,5,12.8,6,8,145.3,61.5,48.6,53.6,47.2,68.3,3.7,52.7,4,Declining,
STU0129,6,13.0,6,7,122.6,58.1,45.0,44.3,51.3,41.3,5.0,58.3,6,Stable,0.0
STU0130,7,13.467142857142855,7,7,128.0,69.5,78.1,73.6,57.0,49.4,3.1,43.5,3,Stable,0.0
STU0131,7,13.2375,7,9,124.9,78.8,42.7,80.8,62.9,46.3,3.8,70.7,5,Declining,1.0
STU0132,6,12.333333333333334,6,6,123.7,70.2,57.3,69.2,74.7,43.6,3.7,55.5,5,Declining,0.0
STU0133,5,12.4,5,7,120.1,63.7,69.0,32.6,54.0,49.1,1.9,51.9,3,Stable,0.0
STU0134,5,14.0,7,8,131.7,70.8,56.8,47.3,61.1,54.3,4.7,75.0,3,Stable,1.0
STU0135,9,11.666666666666666,9,15,133.2,65.9,47.4,66.3,61.4,53.0,3.5,36.8,5,Stable,0.0
STU0136,5,12.0,6,7,109.3,66.8,43.8,44.4,52.9,35.7,3.6,21.4,4,Stable,1.0
STU0137,4,12.2,5,7,113.0,69.7,32.9,44.3,65.5,63.3,4.3,56.3,5,Declining,0.0
STU0138,6,14.833333333333334,6,6,157.9,81.3,54.6,40.0,60.7,57.4,4.9,51.5,4,Stable,0.0
STU0139,5,13.188,7,9,112.1,69.7,53.2,50.3,64.7,58.3,2.4,35.2,4,Declining,
STU0140,7,17.125,7,8,174.7,71.1,53.5,49.7,56.2,63.5,4.8,61.3,4,Improving,0.0
STU0141,6,12.666666666666666,7,7,128.8,82.5,68.9,26.1,49.5,61.1,5.0,57.9,2,Declining,0.0
STU0142,6,12.666666666666666,6,8,110.1,50.7,51.5,68.8,51.6,55.7,3.1,65.8,5,Declining,0.0
STU0143,0,0.0,5,8,99.7,55.1,17.6,44.2,44.1,29.1,3.0,15.1,4,Declining,
STU0144,6,11.333333333333334,6,7,121.0,59.5,68.9,37.7,65.1,70.8,4.2,44.8,8,Stable,0.0
STU0145,7,13.605,7,10,131.7,65.7,40.1,67.3,77.8,63.3,4.7,59.7,5,Stable,0.0
STU0146,5,12.0,6,10,119.1,70.4,57.4,55.4,55.8,42.0,4.8,67.7,5,Declining,0.0
STU0147,0,0.0,5,10,124.7,63.8,44.6,53.4,60.0,28.8,1.1,45.6,4,Declining,1.0
STU0148,5,11.2,6,8,117.2,60.8,49.4,61.7,59.5,75.8,2.5,42.4,6,Declining,1.0
STU0149,5,13.375,5,10,128.8,71.7,63.7,45.7,48.4,51.9,5.2,60.4,3,Improving,0.0
STU0150,6,13.863333333333337,7,8,131.5,59.8,54.4,64.0,57.2,46.6,3.6,46.1,5,Declining,0.0
STU0151,0,0.0,0,0,121.7,44.8,31.2,46.5,47.7,31.6,0.2,23.8,5,Declining,
STU0152,5,12.4,5,6,123.4,65.9,26.1,66.2,62.3,57.9,3.5,46.1,1,Declining,0.0
STU0153,3,12.333333333333334,6,11,124.7,62.9,29.3,64.5,48.1,45.9,3.5,39.7,7,Declining,
STU0154,6,13.333333333333334,6,7,132.8,78.5,85.9,80.3,51.9,55.8,4.2,64.2,5,Declining,0.0
STU0155,3,12.666666666666666,6,10,108.7,81.8,59.0,64.1,49.7,79.4,3.2,63.5,4,Stable,1.0
STU0156,6,12.0,6,8,138.1,61.1,67.0,45.0,52.6,34.5,5.9,45.9,7,Stable,1.0
STU0157,5,10.6,5,5,126.5,49.8,79.6,54.0,55.4,46.1,2.5,51.2,4,Declining,0.0
STU0158,6,12.25,6,8,127.4,55.1,47.8,42.0,73.6,54.2,1.5,46.4,6,Stable,0.0
STU0159,4,11.0,6,10,123.6,57.7,48.0,66.7,48.4,30.0,1.8,34.8,2,Declining,0.0
STU0160,5,11.0,6,11,122.0,66.8,30.9,42.9,37.1,58.4,2.8,33.8,4,Stable,0.0
STU0161,6,13.166666666666666,6,6,118.2,64.3,49.2,81.9,38.1,64.7,4.5,79.0,4,Stable,1.0
STU0162,7,12.855555555555554,7,9,123.9,57.0,49.9,52.6,64.3,38.3,3.8,43.0,3,Declining,0.0
STU0163,7,14.91875,7,8,125.8,82.4,50.6,57.2,52.1,55.4,4.6,65.8,2,Declining,0.0
STU0164,4,11.5,6,13,123.3,70.3,63.2,47.4,56.0,54.2,2.8,55.9,5,Declining,1.0
STU0165,5,14.2,5,5,124.4,80.4,61.1,46.3,48.0,60.7,4.4,34.7,4,Declining,0.0
STU0166,6,12.5,6,6,126.0,51.6,63.2,48.2,53.2,85.4,1.9,58.4,4,Stable,0.0
STU0167,0,0.0,1,1,170.0,65.3,21.1,40.9,36.9,29.2,2.2,34.6,5,Declining,
STU0168,5,11.666666666666666,6,10,121.5,64.2,51.5,53.8,47.0,59.0,4.4,50.4,6,Declining,0.0
STU0169,7,14.257142857142856,8,8,130.0,64.6,58.9,52.0,69.4,54.3,3.0,49.0,2,Stable,0.0
STU0170,3,12.0,6,13,117.0,64.9,72.6,56.2,66.0,48.0,5.6,49.4,4,Stable,1.0
STU0171,4,11.25,5,13,130.0,59.3,51.8,46.3,59.6,52.0,1.4,56.8,4,Declining,
STU0172,7,12.457142857142856,7,8,108.0,65.6,51.3,55.6,76.1,59.4,4.8,40.6,3,Declining,0.0
STU0173,6,11.683333333333332,7,7,132.3,73.2,64.6,75.2,41.1,53.0,4.8,72.9,1,Declining,0.0
STU0174,3,11.666666666666666,6,10,148.0,48.5,46.3,45.0,50.2,54.2,2.5,58.7,4,Stable,0.0
STU0175,4,11.75,6,8,122.6,76.6,55.7,48.8,49.4,50.5,4.0,13.2,3,Declining,1.0
STU0176,3,11.666666666666666,5,6,123.0,67.0,54.1,37.4,58.9,39.1,2.4,44.3,5,Stable,
STU0177,5,13.2,6,9,102.5,65.2,46.0,50.6,42.2,63.5,4.2,84.2,9,Declining,0.0
STU0178,4,11.95,7,8,113.3,72.2,41.9,57.1,59.7,64.0,3.3,54.9,5,Stable,1.0
STU0179,5,12.4,6,8,133.0,68.5,50.5,47.5,39.7,64.6,3.7,40.3,5,Declining,1.0
STU0180,6,14.35,7,8,140.0,63.4,48.2,42.8,63.8,63.2,3.3,64.1,3,Declining,1.0
STU0181,21,12.61904761904762,21,21,128.3,70.1,48.9,74.2,79.9,58.4,4.8,40.7,3,Stable,0.0
STU0182,6,12.666666666666666,6,7,140.0,78.2,60.5,60.4,43.6,42.2,2.9,56.4,4,Stable,
STU0183,5,12.0,6,6,104.0,53.3,57.1,60.6,49.9,63.2,4.4,42.8,3,Stable,1.0
STU0184,6,12.166666666666666,6,6,122.3,64.3,42.3,39.4,66.3,38.7,5.8,52.3,3,Declining,1.0
STU0185,0,0.0,6,0,135.0,43.7,24.9,54.4,53.9,29.8,4.7,10.0,7,Declining,1.0
STU0186,3,10.0,5,9,119.1,67.1,53.2,44.4,36.6,75.2,4.5,39.9,4,Declining,1.0
STU0187,8,11.5,10,18,126.6,67.0,75.2,45.1,60.8,62.0,4.1,16.5,2,Declining,
STU0188,6,13.05,7,7,129.0,56.4,64.4,67.4,61.8,55.9,5.1,43.6,6,Stable,0.0
STU0189,2,11.0,6,10,162.3,56.3,61.8,66.4,50.9,27.4,3.8,48.4,7,Declining,1.0
STU0190,6,11.5,6,7,163.4,65.9,47.2,50.1,68.4,44.7,3.3,67.8,3,Stable,0.0
STU0191,6,12.0,6,7,121.5,68.1,56.2,44.3,49.0,63.2,6.1,88.6,6,Stable,0.0
STU0192,2,10.0,6,13,122.8,47.5,45.4,55.3,46.5,31.4,4.5,33.7,2,Declining,
STU0193,0,0.0,5,5,118.0,49.9,27.0,22.8,34.1,43.5,1.2,38.6,4,Declining,1.0
STU0194,0,0.0,6,0,134.0,56.3,37.3,68.6,42.5,21.4,3.1,25.0,4,Declining,1.0
STU0195,7,12.242857142857144,8,8,129.8,76.3,42.1,43.1,52.8,46.8,4.6,48.8,3,Declining,0.0
STU0196,0,0.0,5,0,152.0,61.7,26.1,42.3,48.7,19.1,0.9,31.3,6,Declining,1.0
STU0197,8,12.93375,8,8,122.8,64.0,48.6,55.0,53.3,56.8,4.2,52.8,2,Declining,0.0
STU0198,0,0.0,5,0,150.0,63.0,30.9,27.0,38.3,17.6,1.9,58.0,5,Declining,1.0
STU0199,7,12.571428571428571,7,9,131.8,64.4,52.5,44.7,58.4,53.7,0.9,49.4,3,Stable,0.0
STU0200,3,11.816666666666668,3,4,105.9,40.0,23.3,64.6,43.8,57.9,1.7,30.3,5,Declining,
STU0201,4,13.75,5,9,132.1,77.4,40.1,58.7,65.2,55.6,5.1,54.5,4,Stable,0.0
STU0202,6,11.166666666666666,6,8,127.4,69.1,69.6,45.4,61.4,58.2,2.9,34.8,6,Stable,0.0
STU0203,7,12.324285714285711,8,8,129.5,68.2,52.4,48.8,62.7,57.1,4.6,47.9,1,Stable,0.0
STU0204,6,12.166666666666666,6,6,126.7,65.9,58.0,44.5,44.8,52.1,5.3,67.6,6,Declining,0.0
STU0205,5,11.142857142857142,6,11,116.5,67.6,55.3,63.8,69.6,51.4,1.2,46.6,6,Stable,0.0
STU0206,4,11.0,6,9,119.1,64.4,47.7,63.1,34.5,54.6,5.5,56.5,4,Declining,0.0
STU0207,7,12.914285714285713,8,8,126.5,64.7,42.4,62.4,64.0,41.7,3.8,50.9,3,Stable,0.0
STU0208,6,13.833333333333334,6,6,149.8,61.5,46.0,58.7,57.6,49.7,4.4,57.4,5,Declining,0.0
STU0209,6,13.857142857142858,6,8,115.1,67.6,76.5,63.5,63.2,79.2,6.3,43.5,6,Stable,0.0
STU0210,6,13.714285714285714,6,7,124.5,59.7,46.3,35.9,54.1,60.3,5.1,65.8,1,Stable,1.0
STU0211,7,12.642857142857142,8,8,128.3,57.7,73.5,59.1,57.2,69.6,3.8,34.0,3,Stable,0.0
STU0212,6,12.916666666666666,7,7,136.0,68.5,47.0,67.8,62.7,58.0,3.3,40.7,5,Stable,0.0
STU0213,6,15.625,6,8,140.0,75.8,50.6,60.2,57.8,47.4,3.6,57.1,4,Declining,0.0
STU0214,0,0.0,5,7,126.3,49.3,37.0,39.7,43.6,35.3,1.4,43.8,6,Declining,1.0
STU0215,6,11.714285714285714,6,8,126.9,60.8,49.1,46.5,57.4,32.2,5.3,54.7,2,Declining,0.0
STU0216,6,12.125,7,10,145.0,52.6,40.5,48.0,77.4,70.2,4.5,60.1,3,Stable,
STU0217,5,11.6,5,7,115.8,54.5,49.9,46.8,38.0,62.8,3.9,31.8,4,Stable,0.0
STU0218,1,10.0,6,11,100.0,52.0,28.2,51.5,63.2,38.1,2.9,39.7,3,Stable,1.0
STU0219,1,10.0,6,16,102.5,70.5,51.0,43.8,55.4,58.0,4.2,49.1,6,Stable,1.0
STU0220,0,0.0,5,10,131.5,42.1,39.2,17.6,45.2,47.5,0.0,32.8,5,Declining,1.0
STU0221,4,13.0,5,7,147.0,68.9,59.1,62.9,41.5,53.3,5.9,34.3,3,Stable,0.0
STU0222,6,13.333333333333334,6,6,122.5,64.4,46.3,61.5,67.4,59.8,3.6,40.3,7,Stable,0.0
STU0223,4,11.25,6,9,117.5,69.3,58.1,56.5,41.8,58.1,2.4,47.0,5,Stable,1.0
STU0224,5,13.85,7,9,150.0,75.8,57.4,44.0,70.6,58.7,5.3,64.2,4,Stable,0.0
STU0225,6,13.741666666666667,7,8,127.5,66.7,54.4,50.0,51.0,56.5,5.3,85.3,4,Stable,0.0
STU0226,6,15.333333333333334,6,7,140.0,76.8,77.8,63.3,72.2,56.8,4.0,39.0,3,Declining,0.0
STU0227,5,11.0,5,6,130.0,77.0,55.1,52.7,46.3,44.6,5.2,50.0,3,Declining,0.0
STU0228,6,12.0,6,6,133.3,76.5,45.5,45.7,45.5,63.9,5.0,36.2,2,Declining,0.0
STU0229,0,0.0,5,5,97.0,50.1,54.2,54.3,40.2,62.5,2.5,30.6,5,Declining,1.0
STU0230,7,11.571428571428571,8,15,112.0,51.2,59.1,45.8,49.1,41.3,2.0,48.2,2,Declining,0.0
STU0231,6,12.857142857142858,6,10,123.6,65.6,73.8,19.6,53.7,54.7,4.1,59.4,5,Improving,0.0
STU0232,0,0.0,6,0,130.5,56.4,12.7,39.0,57.4,30.2,2.0,0.2,5,Declining,1.0
STU0233,5,13.0,5,5,133.3,50.0,47.3,55.5,49.2,59.5,3.5,46.2,6,Declining,0.0
STU0234,5,11.0,6,9,132.1,65.4,46.3,53.6,55.5,57.0,3.2,51.4,3,Stable,0.0
STU0235,3,12.0,5,12,100.0,44.0,26.7,57.2,69.3,53.1,4.5,52.3,5,Stable,1.0
STU0236,5,12.6,6,6,140.4,77.9,52.7,47.1,56.9,45.6,2.3,55.9,2,Improving,0.0
