StudentID,CGPA,Internships,Projects,Certifications,AptitudeTestScore,SoftSkillsScore,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,Gender,Stream,PlacementStatus
STU_00088,7.63,2,2,0,76.9,92.2,1,0,81.4,72.2,Female,Electronics,Placed
STU_00089,6.77,0,2,2,53.4,78.5,1,0,91.0,74.3,Male,,Placed
STU_00090,7.81,2,4,1,65.9,73.7,1,1,64.2,79.7,Male,Electronics,Not Placed
STU_00091,7.4,0,0,2,70.1,30.0,1,0,91.9,78.4,Female,Computer Science,Placed
STU_00092,8.27,0,2,1,71.3,49.1,1,0,82.4,63.8,Male,Electronics,Placed
STU_00093,6.6,0,2,0,88.8,80.7,1,0,68.0,81.7,Female,Mechanical,Placed
STU_00094,6.97,1,3,1,55.7,81.4,1,1,87.9,84.8,Female,Mechanical,Placed
STU_00095,6.91,0,3,0,50.0,63.1,1,1,99.0,63.2,Male,Electronics,Placed
STU_00096,5.84,1,3,1,79.0,72.3,0,1,74.6,66.5,Male,Information Technology,Placed
STU_00097,7.6,1,3,1,62.4,71.5,0,1,73.8,73.1,Male,Electronics,Placed
STU_00098,7.56,1,2,0,100.0,74.0,0,1,68.5,77.4,Male,Mechanical,Placed
STU_00099,7.31,1,0,3,84.1,67.5,0,0,96.4,77.8,Male,Computer Science,Placed
STU_00100,7.07,2,0,2,62.1,81.8,1,1,70.7,74.5,Female,Electronics,Placed
STU_00101,5.88,0,2,2,88.2,85.3,0,1,68.3,59.3,Female,Computer Science,Placed
STU_00102,6.88,0,1,2,81.0,60.5,0,0,71.8,86.1,Male,Mechanical,Not Placed
STU_00103,6.96,1,2,1,79.5,57.7,0,0,71.9,64.1,Female,Mechanical,Placed
STU_00104,6.5,1,1,1,68.2,62.4,1,1,72.2,89.9,Female,Civil,Placed
STU_00105,7.14,0,3,0,76.3,72.6,0,1,70.1,87.8,Male,Mechanical,Placed
STU_00106,7.7,0,1,2,38.5,76.3,0,0,70.8,62.8,Male,Electronics,Placed
STU_00107,9.19,1,3,2,89.8,81.5,0,1,79.4,78.9,Male,Electronics,Placed
STU_00108,,0,3,1,,83.7,0,1,91.5,90.0,Male,Civil,Placed
STU_00109,7.56,0,2,2,63.4,76.3,0,1,68.1,81.5,Male,Electronics,Placed
STU_00110,7.23,2,1,1,46.1,74.8,1,1,65.0,56.3,Female,Information Technology,Placed
STU_00111,5.38,1,2,1,62.5,91.8,0,1,81.3,74.6,Female,Mechanical,Placed
STU_00112,7.27,1,2,3,68.9,72.1,1,1,83.3,84.2,Male,Mechanical,Placed
STU_00113,7.36,1,1,1,52.0,79.1,0,1,93.4,93.5,Male,Civil,Placed
STU_00114,9.76,2,0,1,28.4,75.8,0,1,92.1,73.5,Male,Mechanical,Placed
STU_00115,7.11,0,1,0,73.1,69.9,1,1,62.1,56.7,Male,Information Technology,Placed
STU_00116,7.6,0,0,1,100.0,70.0,0,1,58.0,99.0,Female,Mechanical,Placed
STU_00117,7.27,1,1,1,64.7,87.9,0,1,83.7,73.7,Male,Electronics,Placed
STU_00118,6.13,1,1,1,84.4,70.9,0,1,83.4,90.9,Male,Mechanical,Placed
STU_00119,8.44,0,2,1,92.6,67.8,1,1,92.8,72.2,Male,Information Technology,Placed
STU_00120,8.05,3,4,0,41.5,63.2,0,1,81.9,81.0,Male,Electronics,Placed
STU_00121,8.09,1,2,1,63.1,77.1,1,0,72.4,67.5,Female,Electronics,Not Placed
STU_00122,6.39,0,3,2,50.9,65.9,0,0,88.4,67.7,Female,Information Technology,Placed
STU_00123,8.7,0,2,0,57.9,76.0,0,1,67.6,94.9,Female,Civil,Placed
STU_00124,5.9,0,2,0,95.5,74.1,1,1,98.1,85.3,Female,Civil,Placed
STU_00125,7.89,1,1,0,73.4,66.9,1,0,80.7,74.7,Male,Mechanical,Placed
STU_00126,9.49,3,1,2,81.8,55.3,1,1,70.6,85.3,Female,Computer Science,Placed
STU_00127,6.31,0,3,1,69.3,59.6,1,0,69.1,67.5,Male,Electronics,Placed
STU_00128,6.73,3,3,3,51.8,61.5,0,0,80.0,75.0,Male,Information Technology,Placed
STU_00129,7.4,2,2,1,80.2,60.0,1,0,77.2,76.1,Male,Information Technology,Placed
STU_00130,6.8,1,0,1,88.8,77.5,0,1,76.6,66.7,Female,Electronics,Placed
STU_00131,5.75,1,2,2,74.8,97.6,0,1,64.9,65.2,Male,Information Technology,Placed
STU_00132,7.37,0,1,0,,65.9,0,0,76.4,54.2,Female,Civil,Placed
STU_00133,6.24,1,0,0,51.5,67.4,1,1,86.3,64.4,Male,Civil,Placed
STU_00134,7.77,0,3,1,80.6,65.0,1,1,70.5,95.1,Male,Electronics,Placed
STU_00135,6.38,1,2,0,90.2,82.3,0,1,80.6,55.5,Female,Civil,Placed
STU_00136,8.85,0,2,0,76.1,77.1,0,1,89.2,74.6,Male,Electronics,Placed
STU_00137,6.52,2,3,0,43.0,71.8,0,0,84.3,76.7,Female,Mechanical,Placed
STU_00138,6.98,2,2,0,94.5,57.4,0,1,65.9,72.3,Male,Computer Science,Placed
STU_00139,8.11,0,2,0,55.8,60.4,0,1,81.2,84.6,Male,Information Technology,Placed
STU_00140,6.07,0,1,2,75.8,74.1,0,1,92.6,72.0,Female,Information Technology,Placed
STU_00141,7.53,1,1,0,84.3,74.7,1,1,83.0,85.5,Male,Information Technology,Placed
STU_00142,8.61,1,2,0,86.2,71.8,1,1,89.8,81.0,Male,Information Technology,Placed
STU_00143,5.69,0,1,0,43.0,80.0,0,1,87.8,60.1,Female,Computer Science,Placed
STU_00144,7.48,1,1,1,71.8,57.3,1,1,66.6,87.8,Male,Information Technology,Not Placed
STU_00145,7.56,0,0,1,70.8,75.6,0,0,95.8,71.5,Female,Electronics,Not Placed
STU_00146,8.08,0,2,2,91.6,75.0,0,1,90.5,55.3,Female,Information Technology,Placed
STU_00147,6.06,0,2,2,76.9,60.5,0,1,75.2,80.2,Male,Computer Science,Placed
STU_00148,5.98,0,2,0,91.7,64.7,0,0,91.0,71.8,Male,Computer Science,Placed
STU_00149,7.82,1,2,0,78.1,80.3,1,1,76.7,92.9,Female,Civil,Placed
STU_00150,7.6,3,0,0,68.9,58.3,0,1,77.1,87.1,Male,Information Technology,Placed
STU_00151,7.55,0,2,3,72.9,100.0,1,1,69.1,65.1,Female,Electronics,Placed
STU_00152,7.65,1,3,1,92.9,78.7,1,1,67.7,85.4,Female,Civil,Placed
STU_00153,6.62,0,1,0,50.5,71.3,0,1,79.5,67.3,Male,Computer Science,Placed
STU_00154,7.53,1,2,0,83.6,69.0,0,1,75.5,56.8,Male,Mechanical,Placed
STU_00155,7.59,0,2,1,60.6,81.5,0,0,63.1,68.2,Male,Mechanical,Placed
STU_00156,6.59,1,2,0,57.4,67.1,0,1,81.5,60.4,Female,Computer Science,Placed
STU_00157,9.17,2,1,2,85.4,67.6,1,1,83.1,74.8,Male,Computer Science,Placed
STU_00158,7.77,0,3,1,56.8,89.4,0,1,81.0,96.2,Male,Information Technology,Placed
STU_00159,6.11,1,2,1,75.7,66.3,1,1,80.9,75.9,Male,Information Technology,Placed
STU_00160,7.96,0,3,1,62.7,73.6,0,1,82.1,80.1,Male,Information Technology,Placed
STU_00161,6.33,0,1,0,34.6,62.9,0,1,79.7,64.0,Male,Computer Science,Placed
STU_00162,8.09,0,2,1,77.2,75.1,0,0,81.5,69.1,Male,Electronics,Placed
STU_00163,8.46,0,2,1,71.9,79.0,1,1,83.1,81.0,Female,Computer Science,Not Placed
STU_00164,6.48,0,1,0,41.3,92.2,0,1,72.1,74.2,Female,Information Technology,Placed
STU_00165,8.26,0,1,1,59.5,60.8,0,1,65.3,67.1,Male,Computer Science,Placed
STU_00166,7.71,0,2,2,42.9,54.6,0,0,81.2,86.0,Male,Electronics,Placed
STU_00167,8.12,0,0,0,81.0,68.8,0,1,79.5,76.5,Male,Computer Science,Placed
STU_00168,9.2,1,2,1,90.8,64.6,0,1,82.5,97.6,Male,Information Technology,Placed
STU_00169,7.05,2,0,0,82.7,71.8,1,1,89.4,82.3,Male,Computer Science,Placed
STU_00170,6.55,0,1,1,84.8,78.3,0,1,77.7,62.5,Male,Electronics,Placed
STU_00171,6.41,0,2,0,62.2,99.2,1,1,76.7,76.3,Male,Mechanical,Placed
STU_00172,6.48,0,0,1,78.2,66.6,1,1,82.7,61.8,Male,Electronics,Placed
STU_00173,7.22,2,4,0,69.9,45.5,0,1,67.8,97.1,Male,Mechanical,Placed
STU_00174,7.64,1,3,0,72.8,69.1,0,1,78.4,64.1,Male,Civil,Placed
STU_00175,7.58,1,2,1,84.4,76.2,1,0,77.0,87.3,Male,Electronics,Placed
STU_00176,8.13,0,3,1,87.6,60.4,0,0,86.8,85.5,Male,Electronics,Placed
STU_00177,7.31,0,3,2,64.2,74.8,0,0,73.4,67.5,Female,Computer Science,Placed
STU_00178,8.75,0,1,1,48.9,73.6,0,1,78.9,78.6,Male,Computer Science,Placed
STU_00179,7.04,2,3,1,67.2,75.1,0,1,76.4,77.8,Male,Information Technology,Placed
STU_00180,10.0,2,1,1,66.7,81.5,0,0,53.1,84.2,Female,Computer Science,Placed
STU_00181,7.93,0,1,0,74.3,71.0,0,1,72.7,76.9,Male,Electronics,Placed
STU_00182,6.44,1,2,0,82.5,78.6,0,1,77.9,67.7,Male,Computer Science,Placed
STU_00183,6.23,0,2,0,41.3,50.4,0,0,69.1,81.2,Male,Civil,Placed
STU_00184,7.78,0,0,0,59.9,60.5,0,1,76.8,81.2,Female,Computer Science,Placed
STU_00185,7.08,2,1,0,55.5,67.9,0,1,91.4,64.8,Male,Mechanical,Placed
STU_00186,8.01,1,2,2,88.8,59.9,1,1,87.6,49.6,Female,Computer Science,Placed
STU_00187,7.77,0,1,2,66.9,72.1,0,1,59.3,81.5,Female,Electronics,Placed
STU_00188,7.23,0,2,2,62.3,67.9,0,1,85.6,79.1,Female,Civil,Placed
STU_00189,6.45,2,2,3,78.1,66.5,1,0,83.6,79.7,Female,Computer Science,Placed
STU_00190,5.79,1,1,1,61.1,82.6,0,1,77.1,89.5,Male,Civil,Not Placed
STU_00191,6.85,1,0,0,69.8,73.0,1,1,54.6,84.6,Female,Mechanical,Placed
STU_00192,8.16,0,2,1,97.2,59.0,1,0,85.8,89.2,Male,Electronics,Placed
STU_00193,7.51,0,2,2,96.8,64.8,0,1,73.7,83.6,Male,Civil,Placed
STU_00194,6.05,3,1,1,63.9,81.0,1,1,80.1,76.6,Female,Civil,Placed
STU_00195,7.47,1,1,1,67.3,74.4,0,0,68.3,61.5,Male,Computer Science,Placed
STU_00196,7.69,0,1,0,60.7,86.4,1,1,70.6,92.0,Male,Civil,Placed
STU_00197,6.42,1,0,1,41.1,82.2,0,1,87.4,72.7,Female,Mechanical,Placed
STU_00198,7.45,1,2,0,85.5,67.3,0,0,94.2,68.3,Female,Electronics,Not Placed
STU_00199,7.36,0,2,0,100.0,89.2,1,1,73.7,82.0,Male,Mechanical,Placed
STU_00200,6.16,0,2,2,63.3,90.2,1,1,93.1,54.8,Female,Computer Science,Placed
STU_00201,7.66,1,3,0,57.7,50.6,0,1,73.7,66.9,Male,Mechanical,Placed
STU_00202,7.86,1,0,3,65.9,72.4,0,1,73.6,68.1,Male,Electronics,Placed
STU_00203,8.38,1,1,0,71.3,65.4,1,1,63.8,67.8,Male,Computer Science,Placed
STU_00204,8.35,2,2,2,53.0,68.9,0,0,83.0,96.3,Female,Electronics,Placed
STU_00205,5.92,0,2,1,63.1,62.2,1,1,76.0,74.1,Female,Civil,Placed
STU_00206,6.36,0,2,1,85.2,60.7,1,1,76.6,68.0,Female,Civil,Not Placed
STU_00207,7.82,3,2,0,71.9,82.8,0,1,74.2,74.5,Female,Computer Science,Not Placed
STU_00208,7.81,0,2,1,89.1,58.0,1,0,68.1,84.4,Female,Electronics,Placed
STU_00209,7.82,1,0,2,75.5,73.1,1,1,84.3,54.0,Female,Computer Science,Placed
STU_00210,10.0,1,2,0,53.7,55.8,0,0,77.4,76.3,Male,Electronics,Placed
STU_00211,7.87,1,2,0,61.4,87.2,0,0,86.1,70.0,Female,Civil,Placed
STU_00212,8.44,0,4,0,73.7,72.4,0,0,68.6,78.0,Female,Computer Science,Placed
STU_00213,8.25,1,2,0,53.2,80.9,0,1,80.4,62.4,Female,Mechanical,Placed
STU_00214,7.95,2,2,0,51.2,74.3,1,1,99.0,73.0,Male,Civil,Placed
STU_00215,6.98,1,2,1,52.1,69.0,0,1,70.9,73.5,Male,Mechanical,Placed
STU_00216,8.06,1,3,0,77.7,72.8,0,1,73.2,61.0,Male,Information Technology,Placed
STU_00217,6.53,0,4,1,64.5,90.1,0,1,73.0,95.5,Female,Computer Science,Placed
STU_00218,7.06,0,2,2,87.7,61.2,0,0,67.6,79.6,Female,Electronics,Placed
STU_00219,6.81,0,2,1,56.6,41.4,0,1,94.6,85.1,Male,Civil,Placed
STU_00220,7.38,0,0,0,33.1,62.6,1,1,55.0,71.1,Female,Civil,Not Placed
STU_00221,9.61,3,2,1,68.0,57.5,0,0,65.8,77.4,Male,Civil,Placed
STU_00222,5.43,1,2,0,94.7,83.6,0,1,82.7,61.8,Female,Computer Science,Placed
STU_00223,7.99,1,2,0,70.5,69.9,1,1,70.7,68.0,Male,Mechanical,Placed
STU_00224,5.69,1,0,0,49.4,81.9,1,1,77.7,65.1,Female,Electronics,Not Placed
STU_00225,6.83,0,2,2,45.6,72.4,0,1,77.7,78.3,Male,Electronics,Placed
STU_00226,8.39,3,1,1,88.0,72.1,0,0,83.0,93.8,Female,Electronics,Placed
STU_00227,7.36,0,2,0,57.9,74.0,0,1,78.8,84.9,Male,Information Technology,Placed
STU_00228,6.22,0,1,1,93.1,89.8,0,0,74.1,94.9,Female,Electronics,Placed
STU_00229,6.58,1,2,0,79.8,74.2,1,0,79.3,83.7,Female,Computer Science,Placed
STU_00230,7.98,2,1,3,58.5,85.3,1,0,76.2,79.6,Male,Information Technology,Placed
STU_00231,6.57,2,0,3,87.5,84.5,0,0,94.9,64.9,Male,Mechanical,Placed
STU_00232,7.52,0,2,0,56.1,70.0,0,0,72.2,78.6,Female,Civil,Placed
STU_00233,7.35,2,0,0,48.3,71.1,0,0,83.6,69.8,Male,Mechanical,Placed
STU_00234,6.65,0,2,1,57.0,67.5,0,1,87.1,84.2,Female,Information Technology,Placed
STU_00235,9.44,0,3,1,81.5,87.4,1,0,64.8,60.0,Female,Information Technology,Placed
STU_00236,7.93,2,4,0,87.1,60.7,1,1,66.9,73.8,Male,Civil,Placed
STU_00237,5.27,2,1,1,64.1,63.3,0,1,97.3,75.2,Female,Mechanical,Placed
STU_00238,7.49,1,3,0,42.0,68.7,0,1,71.2,94.7,Male,Information Technology,Placed
STU_00239,6.64,1,1,1,46.6,58.2,1,1,78.1,63.7,Female,Mechanical,Placed
STU_00240,8.15,2,3,0,54.0,64.9,0,0,76.3,87.8,Male,Computer Science,Placed
STU_00241,6.51,1,2,1,50.6,85.6,1,1,77.6,84.1,Female,Mechanical,Placed
STU_00242,7.19,2,0,1,74.0,79.8,0,1,74.3,72.2,Female,Computer Science,Placed
STU_00243,7.8,1,1,1,99.1,67.0,0,0,79.2,79.5,Female,Information Technology,Placed
STU_00244,8.17,3,1,1,81.9,81.6,1,0,69.9,72.3,Female,Mechanical,Placed
STU_00245,6.1,3,2,1,53.1,97.0,0,0,75.8,75.2,Female,Mechanical,Placed
STU_00246,6.97,0,1,0,59.6,75.8,0,1,58.3,83.3,Female,Information Technology,Placed
STU_00247,6.83,2,2,0,62.5,89.0,0,1,76.8,99.0,Female,Computer Science,Placed
STU_00248,6.65,1,2,0,75.8,82.2,0,1,81.3,85.6,Male,Computer Science,Placed
STU_00249,9.07,0,4,0,93.6,68.5,1,1,87.6,77.7,Male,Electronics,Placed
STU_00250,7.7,1,3,1,63.0,74.4,0,1,89.5,90.7,Male,Mechanical,Placed
STU_00251,6.04,0,1,0,93.1,78.3,0,1,74.2,59.4,Male,Information Technology,Placed
STU_00252,,1,2,0,100.0,63.1,0,0,86.4,70.5,Male,Information Technology,Placed
STU_00253,9.42,2,3,2,64.8,40.7,1,0,66.5,75.7,Male,Information Technology,Placed
STU_00254,8.33,0,3,1,64.4,62.0,0,1,72.8,63.6,Female,Mechanical,Placed
STU_00255,5.78,0,0,1,64.6,46.1,0,1,94.2,69.0,Male,Civil,Placed
STU_00256,6.82,2,1,0,70.9,63.0,0,1,79.8,56.8,Female,Information Technology,Not Placed
STU_00257,8.57,0,1,0,64.6,51.5,0,1,80.3,60.9,Male,Information Technology,Placed
STU_00258,6.59,0,1,1,83.3,82.6,0,0,76.2,72.3,Female,Civil,Placed
STU_00259,7.74,0,1,2,46.8,57.8,0,0,96.7,64.7,Male,Information Technology,Placed
STU_00260,8.07,1,2,0,62.0,78.5,1,1,83.3,79.6,Female,Mechanical,Placed
STU_00261,6.37,1,2,1,74.9,81.2,0,1,92.8,77.9,Female,Civil,Placed
STU_00262,7.24,2,2,3,83.1,80.4,0,0,72.1,78.9,Male,Electronics,Placed
STU_00263,5.0,1,2,1,100.0,49.6,0,1,68.3,69.5,Female,Civil,Placed
STU_00264,6.28,2,0,1,50.7,85.5,1,1,70.3,86.9,Male,Computer Science,Placed
STU_00265,7.05,1,3,1,60.2,77.0,1,1,84.3,80.5,Male,Electronics,Placed
STU_00266,6.05,0,3,2,36.0,81.7,1,1,94.5,77.5,Male,Information Technology,Placed
STU_00267,8.93,1,2,1,53.4,94.0,1,0,85.5,77.6,Female,Information Technology,Placed
STU_00268,5.87,1,3,2,43.5,81.5,0,1,86.8,72.7,Male,Mechanical,Placed
STU_00269,6.86,1,0,1,62.2,57.8,0,1,79.7,89.5,Male,Information Technology,Placed
STU_00270,7.43,0,2,2,66.6,79.8,1,1,65.3,87.6,Male,Computer Science,Placed
STU_00271,8.74,0,0,3,77.0,54.0,1,1,98.2,71.0,Female,Electronics,Placed
STU_00272,5.86,0,1,1,65.5,71.2,0,1,84.6,76.8,Female,Mechanical,Placed
STU_00273,8.46,0,1,1,77.0,66.0,0,1,83.2,70.6,Male,Computer Science,Placed
STU_00274,7.31,1,2,1,71.7,72.1,1,1,86.7,99.0,Female,Electronics,Placed
STU_00275,6.32,0,1,2,54.5,53.9,1,1,60.9,72.2,Female,Mechanical,Placed
STU_00276,7.76,1,2,2,44.7,55.3,0,1,73.0,88.1,Female,Civil,Placed
STU_00277,7.5,0,1,0,78.8,66.6,0,1,84.2,99.0,Male,Information Technology,Not Placed
STU_00278,6.7,0,3,1,94.7,69.3,1,1,76.6,78.5,Female,Information Technology,Placed
STU_00279,7.37,1,2,2,100.0,66.9,0,1,77.2,55.8,Female,Computer Science,Placed
STU_00280,6.91,0,1,1,84.0,89.4,1,1,90.8,91.6,Female,Information Technology,Placed
STU_00281,7.41,2,1,1,91.9,77.1,0,1,79.2,69.4,Male,Mechanical,Placed
STU_00282,7.96,0,3,0,76.9,76.8,1,0,99.0,67.4,Male,Electronics,Placed
STU_00283,8.89,0,1,1,74.5,67.4,0,1,77.6,94.6,Male,Electronics,Placed
STU_00284,6.06,2,2,2,71.7,55.3,1,1,86.0,60.7,Male,Electronics,Placed
STU_00285,9.43,1,2,2,68.4,72.0,0,1,82.8,90.8,Female,Electronics,Placed
